Date,Open,High,Low,Close,Volume,Open Interest
2018-03-16,30255.0,30349.0,30145.0,30224.0,9014.0,5374.0
2018-03-15,30433.0,30473.0,30264.0,30299.0,7747.0,5669.0
2018-03-14,30420.0,30546.0,30356.0,30405.0,8373.0,5909.0
2018-03-13,30322.0,30409.0,30237.0,30377.0,9859.0,5907.0
2018-03-12,30403.0,30427.0,30267.0,30332.0,6405.0,6149.0
2018-03-09,30384.0,30470.0,30280.0,30401.0,9749.0,6418.0
2018-03-08,30477.0,30546.0,30396.0,30429.0,7262.0,6708.0
2018-03-07,30650.0,30650.0,30394.0,30474.0,8202.0,7000.0
2018-03-06,30397.0,30687.0,30362.0,30573.0,9734.0,7331.0
2018-03-05,30460.0,30548.0,30341.0,30352.0,6147.0,6839.0
2018-03-02,30250.0,30528.0,30250.0,30448.0,4867.0,7151.0
2018-03-01,30320.0,30320.0,30119.0,30165.0,7914.0,6697.0
2018-02-28,30310.0,30446.0,30287.0,30379.0,7480.0,7069.0
2018-02-27,30540.0,30610.0,30272.0,30295.0,9754.0,6962.0
2018-02-26,30526.0,30644.0,30501.0,30531.0,6992.0,7493.0
2018-02-23,30501.0,30525.0,30427.0,30509.0,5680.0,7222.0
2018-02-22,30459.0,30590.0,30400.0,30573.0,7361.0,7267.0
2018-02-21,30451.0,30539.0,30387.0,30476.0,7870.0,7171.0
2018-02-20,30629.0,30774.0,30511.0,30532.0,9447.0,7370.0
2018-02-19,30763.0,30792.0,30725.0,30742.0,4282.0,7826.0
2018-02-16,30650.0,30839.0,30650.0,30816.0,9077.0,7948.0
2018-02-15,30641.0,30681.0,30531.0,30579.0,8334.0,7838.0
2018-02-14,30250.0,30687.0,30043.0,30624.0,11438.0,7912.0
2018-02-13,30200.0,30250.0,30102.0,30218.0,3229.0,7397.0
2018-02-12,30118.0,30178.0,30030.0,30152.0,5844.0,7505.0
2018-02-09,30055.0,30102.0,29891.0,30009.0,9133.0,7446.0
2018-02-08,29950.0,30173.0,29805.0,30107.0,9845.0,7743.0
2018-02-07,30223.0,30250.0,29972.0,29995.0,8267.0,7661.0
2018-02-06,30350.0,30714.0,30165.0,30187.0,11151.0,8269.0
2018-02-05,30250.0,30374.0,30203.0,30293.0,6739.0,8735.0
2018-02-02,30660.0,30720.0,30244.0,30367.0,772.0,947.0
2018-02-01,30189.0,30570.0,30041.0,30505.0,1535.0,1379.0
2018-01-31,30069.0,30167.0,30052.0,30117.0,5951.0,2219.0
2018-01-30,29978.0,30170.0,29954.0,30052.0,8577.0,3727.0
2018-01-29,30150.0,30150.0,29980.0,30060.0,6910.0,4330.0
2018-01-25,30300.0,30464.0,30170.0,30361.0,7039.0,5273.0
2018-01-24,29935.0,30291.0,29916.0,30249.0,9179.0,5859.0
2018-01-23,29873.0,29932.0,29781.0,29911.0,6740.0,5824.0
2018-01-22,29699.0,29863.0,29699.0,29834.0,7057.0,5958.0
2018-01-19,29601.0,29780.0,29595.0,29755.0,5567.0,6096.0
2018-01-18,29650.0,29700.0,29550.0,29645.0,6349.0,5949.0
2018-01-17,29801.0,29829.0,29680.0,29757.0,6266.0,5920.0
2017-12-29,0.0,0.0,0.0,513.5,0.0,0.0
2017-12-28,0.0,0.0,0.0,761.0,0.0,0.0
2017-12-27,0.0,0.0,0.0,227.5,0.0,0.0
2017-12-26,0.0,0.0,0.0,1516.0,0.0,0.0
2017-12-22,0.0,0.0,0.0,219.5,0.0,0.0
2017-12-21,0.0,0.0,0.0,1969.0,0.0,0.0
2017-12-20,0.0,0.0,0.0,264.0,0.0,0.0
2017-12-19,0.0,0.0,0.0,28543.0,0.0,0.0
2017-12-18,0.0,0.0,0.0,28494.0,0.0,10.0
2017-12-15,0.0,0.0,0.0,28274.0,0.0,0.0
2017-12-14,0.0,0.0,0.0,2104.5,0.0,0.0
2017-12-13,0.0,0.0,0.0,1651.5,0.0,0.0
2017-12-12,0.0,0.0,0.0,20.0,0.0,0.0
2017-12-11,0.0,0.0,0.0,725.5,0.0,0.0
2017-12-08,0.0,0.0,0.0,678.0,0.0,0.0
2017-12-07,0.0,0.0,0.0,577.0,0.0,1.0
2017-12-06,0.0,0.0,0.0,29163.0,0.0,0.0
2017-12-05,0.0,0.0,0.0,29129.0,0.0,0.0
2017-12-04,0.0,0.0,0.0,29546.0,0.0,0.0
2017-10-31,29692.0,29698.0,29490.0,29616.0,7.0,3.0
2017-10-30,0.0,0.0,0.0,47.0,0.0,0.0
2017-10-27,0.0,0.0,0.0,1462.0,0.0,0.0
2017-10-26,0.0,0.0,0.0,29549.0,0.0,0.0
2017-10-25,0.0,0.0,0.0,29786.0,0.0,0.0
2017-10-24,0.0,0.0,0.0,1370.0,0.0,0.0
2017-10-23,0.0,0.0,0.0,30032.0,0.0,0.0
2017-10-20,0.0,0.0,0.0,29989.0,0.0,0.0
2017-10-19,0.0,0.0,0.0,30032.0,0.0,0.0
2017-10-18,0.0,0.0,0.0,29989.0,0.0,0.0
2017-10-17,0.0,0.0,0.0,30032.0,0.0,0.0
2017-10-16,0.0,0.0,0.0,29989.0,0.0,0.0
2017-10-13,29805.0,29868.0,29720.0,29851.0,8187.0,6779.0
2017-10-12,29775.0,29900.0,29710.0,29814.0,6812.0,7107.0
2017-10-11,29780.0,29822.0,29690.0,29707.0,6101.0,7128.0
2017-10-10,29780.0,29859.0,29751.0,29825.0,7043.0,7384.0
2017-10-09,29698.0,29772.0,29664.0,29732.0,5831.0,7303.0
2017-10-06,29361.0,29598.0,29312.0,29573.0,10412.0,7547.0
2017-10-05,29414.0,29500.0,29370.0,29387.0,5779.0,8004.0
2017-10-04,29413.0,29455.0,29260.0,29290.0,313.0,359.0
2017-10-03,29500.0,29500.0,29300.0,29355.0,1051.0,818.0
2017-09-29,29604.0,29671.0,29526.0,29557.0,7789.0,1411.0
2017-09-28,29663.0,29686.0,29522.0,29608.0,8433.0,3711.0
2017-09-27,29840.0,29928.0,29626.0,29658.0,9280.0,4343.0
2017-09-26,30100.0,30169.0,29780.0,29872.0,11178.0,4544.0
2017-09-25,29510.0,30129.0,29510.0,30039.0,10180.0,4937.0
2017-09-22,29650.0,29746.0,29556.0,29585.0,8580.0,5202.0
2017-09-21,29555.0,29623.0,29443.0,29564.0,11619.0,5392.0
2017-09-20,29693.0,29799.0,29680.0,29774.0,7919.0,5648.0
2017-09-19,29566.0,29682.0,29546.0,29621.0,8622.0,5711.0
2017-09-18,29820.0,29820.0,29538.0,29547.0,9044.0,5967.0
2017-09-15,30022.0,30040.0,29825.0,29856.0,9542.0,6303.0
2017-09-14,29807.0,30050.0,29765.0,30010.0,11103.0,6815.0
2017-09-13,29999.0,30058.0,29820.0,29886.0,9708.0,6827.0
2017-09-12,29911.0,29971.0,29820.0,29943.0,8280.0,6702.0
2017-09-11,30200.0,30200.0,29917.0,29933.0,7590.0,6854.0
2017-09-08,30382.0,30474.0,30210.0,30268.0,10511.0,7268.0
